"ITTER107","Territorio","TIPO_DATO8","Tipo dato","TIP_FAM","Tipologia familiare","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","NAT_FR_HH","famiglie miste","2019","2019",16.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","NAT_FR_HH","famiglie miste","2020","2020",22.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","NAT_FR_HH","famiglie miste","2021","2021",17,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1ELD","1 anziano","2016","2016",4.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1ELD","1 anziano","2017","2017",5.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1ELD","1 anziano","2018","2018",5.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1ELD","1 anziano","2019","2019",5.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1ELD","1 anziano","2020","2020",6.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1ELD","1 anziano","2021","2021",6.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2GE_ELD","2 anziani o più ","2016","2016",3.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2GE_ELD","2 anziani o più ","2017","2017",4.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2GE_ELD","2 anziani o più ","2018","2018",4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2GE_ELD","2 anziani o più ","2019","2019",4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2GE_ELD","2 anziani o più ","2020","2020",4.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2GE_ELD","2 anziani o più ","2021","2021",4.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1ELD","almeno un anziano","2016","2016",3.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1ELD","almeno un anziano","2017","2017",4.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1ELD","almeno un anziano","2018","2018",4.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1ELD","almeno un anziano","2019","2019",5.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1ELD","almeno un anziano","2020","2020",5.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1ELD","almeno un anziano","2021","2021",5.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1MINCH","1 figlio minore","2016","2016",7.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1MINCH","1 figlio minore","2017","2017",9.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1MINCH","1 figlio minore","2018","2018",9.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1MINCH","1 figlio minore","2019","2019",6.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1MINCH","1 figlio minore","2020","2020",9.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","1MINCH","1 figlio minore","2021","2021",8.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2MINCH","2 figli minori","2016","2016",10,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2MINCH","2 figli minori","2017","2017",9.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2MINCH","2 figli minori","2018","2018",11.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2MINCH","2 figli minori","2019","2019",10.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2MINCH","2 figli minori","2020","2020",12.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","2MINCH","2 figli minori","2021","2021",14,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","3MINCH","3 figli minori o più","2016","2016",26.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","3MINCH","3 figli minori o più","2017","2017",20.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","3MINCH","3 figli minori o più","2018","2018",19.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","3MINCH","3 figli minori o più","2019","2019",20.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","3MINCH","3 figli minori o più","2020","2020",22.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","3MINCH","3 figli minori o più","2021","2021",22.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1MINCH","almeno un figlio minore","2016","2016",9.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1MINCH","almeno un figlio minore","2017","2017",10.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1MINCH","almeno un figlio minore","2018","2018",11,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1MINCH","almeno un figlio minore","2019","2019",9.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1MINCH","almeno un figlio minore","2020","2020",11.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1MINCH","almeno un figlio minore","2021","2021",11.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR35_44","almeno un figlio minore e p.r. con 35-44 anni","2016","2016",10.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR35_44","almeno un figlio minore e p.r. con 35-44 anni","2017","2017",11,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR35_44","almeno un figlio minore e p.r. con 35-44 anni","2018","2018",12,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR35_44","almeno un figlio minore e p.r. con 35-44 anni","2019","2019",9.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR35_44","almeno un figlio minore e p.r. con 35-44 anni","2020","2020",12.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR35_44","almeno un figlio minore e p.r. con 35-44 anni","2021","2021",11.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR45_55","almeno un figlio minore e p.r. con 45-54 anni","2016","2016",8.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR45_55","almeno un figlio minore e p.r. con 45-54 anni","2017","2017",9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR45_55","almeno un figlio minore e p.r. con 45-54 anni","2018","2018",8.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR45_55","almeno un figlio minore e p.r. con 45-54 anni","2019","2019",8.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR45_55","almeno un figlio minore e p.r. con 45-54 anni","2020","2020",11.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PR45_55","almeno un figlio minore e p.r. con 45-54 anni","2021","2021",11,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PRGE55","almeno un figlio minore e p.r. con 55 anni e più","2016","2016",,"0","il dato non raggiunge la metà della cifra minima considerata"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PRGE55","almeno un figlio minore e p.r. con 55 anni e più","2017","2017",11.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PRGE55","almeno un figlio minore e p.r. con 55 anni e più","2018","2018",8.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PRGE55","almeno un figlio minore e p.r. con 55 anni e più","2019","2019",7.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PRGE55","almeno un figlio minore e p.r. con 55 anni e più","2020","2020",7.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ATL_1_MINCH_PRGE55","almeno un figlio minore e p.r. con 55 anni e più","2021","2021",10.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F1","Famiglie per presenza di componenti stranieri","2016","2016",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F1","Famiglie per presenza di componenti stranieri","2017","2017",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F1","Famiglie per presenza di componenti stranieri","2018","2018",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F1","Famiglie per presenza di componenti stranieri","2019","2019",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F1","Famiglie per presenza di componenti stranieri","2020","2020",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F1","Famiglie per presenza di componenti stranieri","2021","2021",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F2","Famiglie per presenza di anziani","2016","2016",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F2","Famiglie per presenza di anziani","2017","2017",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F2","Famiglie per presenza di anziani","2018","2018",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F2","Famiglie per presenza di anziani","2019","2019",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F2","Famiglie per presenza di anziani","2020","2020",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F2","Famiglie per presenza di anziani","2021","2021",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F3","Famiglie per presenza di figli minori","2016","2016",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F3","Famiglie per presenza di figli minori","2017","2017",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F3","Famiglie per presenza di figli minori","2018","2018",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F3","Famiglie per presenza di figli minori","2019","2019",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F3","Famiglie per presenza di figli minori","2020","2020",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OR_F3","Famiglie per presenza di figli minori","2021","2021",,"t","è voce da considerarsi come titolo di raggruppamento"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ALL_NNAT","famiglie di soli stranieri","2016","2016",25.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ALL_NNAT","famiglie di soli stranieri","2017","2017",29.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ALL_NNAT","famiglie di soli stranieri","2018","2018",27.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ALL_NNAT","famiglie di soli stranieri","2019","2019",24.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","ALL_NNAT","famiglie di soli stranieri","2020","2020",26.7,,
